#group,false,false,false,false,false
#datatype,double,double,string,double,dateTime:RFC3339
#default,,,,,
,humidity,light,node_id,temperature,time
,66.3,358,smart_art_1,17.8,2025-12-14T13:42:07.069624Z
,66.3,350,smart_art_1,17.8,2025-12-14T13:47:07.100365Z
,66.5,333,smart_art_1,17.8,2025-12-14T13:52:07.033164Z
,66.6,329,smart_art_1,17.8,2025-12-14T13:57:07.050505Z
,66.6,317,smart_art_1,17.9,2025-12-14T14:02:07.079568Z
,66.9,304,smart_art_1,17.8,2025-12-14T14:07:06.961651Z
,67,289,smart_art_1,17.9,2025-12-14T14:12:06.960211Z
,67,272,smart_art_1,17.9,2025-12-14T14:17:07.082042Z
,67.1,258,smart_art_1,17.9,2025-12-14T14:22:06.968936Z
,67.3,240,smart_art_1,17.9,2025-12-14T14:27:06.948043Z
,67.4,224,smart_art_1,17.9,2025-12-14T14:32:07.029381Z
,67.4,208,smart_art_1,17.9,2025-12-14T14:37:06.938058Z
,67.5,177,smart_art_1,17.9,2025-12-14T14:42:06.955386Z
,67.6,152,smart_art_1,17.8,2025-12-14T14:48:23.80543Z
,67.6,130,smart_art_1,17.8,2025-12-14T14:53:23.831589Z
,67.6,115,smart_art_1,17.8,2025-12-14T14:58:23.745915Z
,66.8,79,smart_art_1,18.3,2025-12-14T15:03:23.752832Z
,64.1,53,smart_art_1,19.3,2025-12-14T15:08:23.715904Z
,62.3,21,smart_art_1,20.1,2025-12-14T15:13:23.732899Z
,61.4,0,smart_art_1,20.6,2025-12-14T15:18:23.727483Z
,61.4,0,smart_art_1,20.7,2025-12-14T15:23:23.787756Z
,61,0,smart_art_1,21,2025-12-14T15:28:23.695849Z
,60.8,0,smart_art_1,21.2,2025-12-14T15:33:23.736927Z
,60.2,0,smart_art_1,21.5,2025-12-14T15:38:23.693424Z
,60.1,0,smart_art_1,21.7,2025-12-14T15:43:23.696666Z
,60.2,208,smart_art_1,21.8,2025-12-14T15:48:23.666018Z
,59.8,76,smart_art_1,22.1,2025-12-14T15:53:23.738013Z
,60.1,128,smart_art_1,22,2025-12-14T15:58:23.780065Z
,62.4,93,smart_art_1,21.1,2025-12-14T16:03:23.705832Z
,63.8,87,smart_art_1,20.6,2025-12-14T16:08:23.628297Z
,64.6,107,smart_art_1,20.3,2025-12-14T16:13:23.747099Z
,65.2,101,smart_art_1,20.1,2025-12-14T16:18:23.672411Z
,65.7,108,smart_art_1,20,2025-12-14T16:23:23.701095Z
,66,80,smart_art_1,19.9,2025-12-14T16:28:23.645336Z
,66.3,105,smart_art_1,19.8,2025-12-14T16:33:23.652898Z
,66.5,110,smart_art_1,19.7,2025-12-14T16:38:23.60532Z
,66.6,84,smart_art_1,19.6,2025-12-14T16:43:23.698544Z
,66.8,93,smart_art_1,19.5,2025-12-14T16:48:23.618876Z
,67.1,112,smart_art_1,19.4,2025-12-14T16:53:23.641519Z
,67.1,99,smart_art_1,19.4,2025-12-14T16:58:23.669022Z
,67.2,102,smart_art_1,19.4,2025-12-14T17:03:23.693934Z
,67.4,75,smart_art_1,19.3,2025-12-14T17:08:23.617781Z
,67.4,109,smart_art_1,19.3,2025-12-14T17:13:23.641886Z
,67.7,108,smart_art_1,19.2,2025-12-14T17:18:23.569519Z
,67.5,97,smart_art_1,19.4,2025-12-14T17:23:23.581243Z
,66.3,100,smart_art_1,19.8,2025-12-14T17:28:23.622362Z
,65.7,77,smart_art_1,20.1,2025-12-14T17:33:23.645292Z
,65.2,109,smart_art_1,20.3,2025-12-14T17:38:23.675274Z
,65.2,74,smart_art_1,20.3,2025-12-14T17:43:23.552553Z
,65.3,93,smart_art_1,20.4,2025-12-14T17:48:23.579271Z
,65.2,74,smart_art_1,20.4,2025-12-14T17:53:23.647806Z
,65.2,85,smart_art_1,20.6,2025-12-14T17:58:23.543007Z
,64.9,80,smart_art_1,20.7,2025-12-14T18:03:23.59433Z
,64.8,80,smart_art_1,20.8,2025-12-14T18:08:23.537311Z
,64.9,90,smart_art_1,20.8,2025-12-14T18:13:23.527792Z
,65.9,112,smart_art_1,20.4,2025-12-14T18:18:23.516605Z
,66.8,97,smart_art_1,20.1,2025-12-14T18:23:23.516573Z
,67.2,99,smart_art_1,20,2025-12-14T18:28:23.506628Z
,67.6,76,smart_art_1,19.8,2025-12-14T18:33:23.546865Z
,67.9,97,smart_art_1,19.8,2025-12-14T18:38:23.500467Z
,68.1,108,smart_art_1,19.7,2025-12-14T18:43:23.602152Z
,68.3,106,smart_art_1,19.7,2025-12-14T18:48:23.493533Z
,67.4,112,smart_art_1,20,2025-12-14T18:53:23.549942Z
,64.7,100,smart_art_1,21.1,2025-12-14T18:58:23.481068Z
,63.4,112,smart_art_1,21.6,2025-12-14T19:03:23.479282Z
,62.5,127,smart_art_1,22.1,2025-12-14T19:08:23.521867Z
,62,127,smart_art_1,22.3,2025-12-14T19:13:23.459749Z
,61.9,113,smart_art_1,22.4,2025-12-14T19:18:23.441524Z
,61.2,66,smart_art_1,22.8,2025-12-14T19:23:23.5026Z
,61.3,96,smart_art_1,22.8,2025-12-14T19:28:23.52632Z
,63.1,80,smart_art_1,22.1,2025-12-14T19:33:23.450808Z
,64.9,94,smart_art_1,21.4,2025-12-14T19:38:23.480711Z
,65.8,80,smart_art_1,21.1,2025-12-14T19:43:23.482708Z
,66.6,70,smart_art_1,20.8,2025-12-14T19:48:23.428699Z
,67,71,smart_art_1,20.7,2025-12-14T19:53:23.456955Z
,67.3,91,smart_art_1,20.6,2025-12-14T19:58:23.483405Z
,67.6,92,smart_art_1,20.4,2025-12-14T20:03:23.511343Z
,68,80,smart_art_1,20.4,2025-12-14T20:08:23.390655Z
,68.1,89,smart_art_1,20.3,2025-12-14T20:13:23.39989Z
,68.3,89,smart_art_1,20.2,2025-12-14T20:18:23.395088Z
,68.2,139,smart_art_1,20,2025-12-14T20:23:23.405838Z
,66.8,151,smart_art_1,19.6,2025-12-14T20:28:23.382067Z
,65.9,155,smart_art_1,19.5,2025-12-14T20:33:23.372777Z
,54.8,144,smart_art_1,17.6,2025-12-14T20:38:23.492935Z
,56,155,smart_art_1,16,2025-12-14T20:43:23.36516Z
,54.2,150,smart_art_1,15.8,2025-12-14T20:48:23.364718Z
,54.6,153,smart_art_1,15.6,2025-12-14T20:53:23.464882Z
